Tool,Metric,Value
LoFreq,User time (s),1024927
LoFreq,CPU time (s),1443015
LoFreq,System time (s),789
LoFreq,Maximum RAM (GB),2.98
Mutect2,User time (s),12978205
Mutect2,CPU time (s),17770160
Mutect2,System time (s),6038
Mutect2,Maximum RAM (GB),1066.34834
Platypus,User time (s),29140
Platypus,CPU time (s),46050
Platypus,System time (s),318
Platypus,Maximum RAM (GB),24.92
Shimmer,User time (s),43362
Shimmer,CPU time (s),379560
Shimmer,System time (s),358
Shimmer,Maximum RAM (GB),2.995
SomVarIUS,User time (s),36995
SomVarIUS,CPU time (s),744240
SomVarIUS,System time (s),123
SomVarIUS,Maximum RAM (GB),17.345
Strelka2,User time (s),466891
Strelka2,CPU time (s),547480
Strelka2,System time (s),6074
Strelka2,Maximum RAM (GB),6.013125
Virmid,User time (s),98304
Virmid,CPU time (s),1420065
Virmid,System time (s),818
Virmid,Maximum RAM (GB),53.31
