Tool,Metric,Value
LoFreq,User time (s),506528
LoFreq,CPU time (s),657375
LoFreq,System time (s),2073
LoFreq,Maximum RAM (GB),3.24
Mutect2,User time (s),11694783.5
Mutect2,CPU time (s),14545480
Mutect2,System time (s),5839.5
Mutect2,Maximum RAM (GB),2080.87457
Platypus,User time (s),23360.5
Platypus,CPU time (s),33280
Platypus,System time (s),310.5
Platypus,Maximum RAM (GB),13.445
Shimmer,User time (s),36859
Shimmer,CPU time (s),294085
Shimmer,System time (s),377.5
Shimmer,Maximum RAM (GB),1.51
SomVarIUS,User time (s),24799
SomVarIUS,CPU time (s),748680
SomVarIUS,System time (s),86
SomVarIUS,Maximum RAM (GB),0.13881
Strelka2,User time (s),296924
Strelka2,CPU time (s),484200
Strelka2,System time (s),2890.5
Strelka2,Maximum RAM (GB),3.93813
Virmid,User time (s),70671
Virmid,CPU time (s),976575
Virmid,System time (s),655
Virmid,Maximum RAM (GB),54.47
