num_vars	User Time (s)	CPU Time (s)	Max Memory (MB)	procedure
5236602	6010	192320	13950.0	FFPolish Filter
8110642	6914	221248	14030.0	FFPolish Filter
8203925	7268	232576	14060.0	FFPolish Filter
7306849	6486	207552	14170.0	FFPolish Filter
6830039	5529	176928	14080.0	FFPolish Filter
6214211	6401	204832	13950.0	FFPolish Filter
5263907	6036	193152	13970.0	FFPolish Filter
4983986	5938	190016	13980.0	FFPolish Filter
4913403	4026	128832	13890.0	FFPolish Filter
5196381	6381	204192	13970.0	FFPolish Filter
6737459	7149	228768	14060.0	FFPolish Filter
7558085	7262	232384	14030.0	FFPolish Filter
7231650	7941	254112	14370.0	FFPolish Filter
5743411	6247	199904	13990.0	FFPolish Filter
6506115	7204	230528	14080.0	FFPolish Filter
3873643	5692	182144	13930.0	FFPolish Filter
4383793	5045	161440	13910.0	FFPolish Filter
5974348	7125	228000	14080.0	FFPolish Filter
10322624	9031	288992	20440.0	FFPolish Filter
5002654	5125	164000	13910.0	FFPolish Filter
8631208	7814	250048	14390.0	FFPolish Filter
6586807	8562	273984	16860.0	FFPolish Filter
6825105	7319	234208	14060.0	FFPolish Filter
4209399	2406	76992	13840.0	FFPolish Filter
8050897	7476	239232	14160.0	FFPolish Filter
7489185	7306	233792	14090.0	FFPolish Filter
6529059	5614	179648	13930.0	FFPolish Filter
4976889	4431	141792	13880.0	FFPolish Filter
4037412	5268	168576	13920.0	FFPolish Filter
5118081	3890	124480	13900.0	FFPolish Filter
6102680	7045	225440	14040.0	FFPolish Filter
5809995	6930	221760	13990.0	FFPolish Filter
5441746	6020	192640	13970.0	FFPolish Filter
6769704	6626	212032	13980.0	FFPolish Filter
5626799	7156	228992	14090.0	FFPolish Filter
6976604	7365	235680	14140.0	FFPolish Filter
5096488	5065	162080	13920.0	FFPolish Filter
5236911	5705	182560	13930.0	FFPolish Filter
5424674	6178	197696	13970.0	FFPolish Filter
24883026	8489	271648	15490.0	FFPolish Filter
6982139	3172	101504	13930.0	FFPolish Filter
19082266	8524	272768	15300.0	FFPolish Filter
6246501	2805	89760	13910.0	FFPolish Filter
16191187	7549	241568	14600.0	FFPolish Filter
4211984	2565	82080	13860.0	FFPolish Filter
4333360	2417	77344	13850.0	FFPolish Filter
7057155	3171	101472	13900.0	FFPolish Filter
5497911	2215	70880	13870.0	FFPolish Filter
5480195	2794	89408	13950.0	FFPolish Filter
19371361	8505	272160	15210.0	FFPolish Filter
15774773	7075	226400	14800.0	FFPolish Filter
17846203	8324	266368	15490.0	FFPolish Filter
3425947	2346	75072	13940.0	FFPolish Filter
16321583	7363	235616	14770.0	FFPolish Filter
19972921	8479	271328	15260.0	FFPolish Filter
14247482	6666	213312	14640.0	FFPolish Filter
5782873	3129	100128	13930.0	FFPolish Filter
16291533	8458	270656	15540.0	FFPolish Filter
16046800	8326	266432	15080.0	FFPolish Filter
14156079	6083	194656	14340.0	FFPolish Filter
9106201	3540	113280	13950.0	FFPolish Filter
17241082	8032	257024	14910.0	FFPolish Filter
13882428	7124	227968	14590.0	FFPolish Filter
20138933	8107	259424	14910.0	FFPolish Filter
5240423	2517	80544	13960.0	FFPolish Filter
15272887	8291	265312	15180.0	FFPolish Filter
19939668	8722	279104	16560.0	FFPolish Filter
4948996	3240	103680	13960.0	FFPolish Filter
17130382	8308	265856	15300.0	FFPolish Filter
4436824	2122	67904	13860.0	FFPolish Filter
4922428	2666	85312	13870.0	FFPolish Filter
20555886	8403	268896	15040.0	FFPolish Filter
5809995	6577	210464	22220.0	FFPolish Re-train
4209399	3228	103296	22080.0	FFPolish Re-train
5974348	7142	228544	22310.0	FFPolish Re-train
8050897	7532	241024	22390.0	FFPolish Re-train
7306849	7279	232928	22410.0	FFPolish Re-train
3873643	5572	178304	22170.0	FFPolish Re-train
5743411	5961	190752	22220.0	FFPolish Re-train
7489185	7267	232544	22320.0	FFPolish Re-train
5626799	7014	224448	22320.0	FFPolish Re-train
8110642	6334	202688	22260.0	FFPolish Re-train
6769704	6247	199904	22220.0	FFPolish Re-train
6976604	7274	232768	22370.0	FFPolish Re-train
10322624	8993	287776	28650.0	FFPolish Re-train
5236602	5445	174240	22190.0	FFPolish Re-train
6830039	6854	219328	22300.0	FFPolish Re-train
6214211	6449	206368	22180.0	FFPolish Re-train
6102680	6611	211552	22270.0	FFPolish Re-train
7231650	7958	254656	22610.0	FFPolish Re-train
7558085	6989	223648	22260.0	FFPolish Re-train
5441746	5726	183232	22200.0	FFPolish Re-train
4037412	5289	169248	22160.0	FFPolish Re-train
5236911	5052	161664	22160.0	FFPolish Re-train
6737459	6959	222688	22300.0	FFPolish Re-train
5002654	4708	150656	22150.0	FFPolish Re-train
4976889	3823	122336	22110.0	FFPolish Re-train
5118081	4648	148736	22140.0	FFPolish Re-train
6825105	6927	221664	22290.0	FFPolish Re-train
5424674	5614	179648	22200.0	FFPolish Re-train
6586807	8517	272544	25100.0	FFPolish Re-train
4913403	4006	128192	22130.0	FFPolish Re-train
5096488	5083	162656	22160.0	FFPolish Re-train
6529059	5295	169440	22170.0	FFPolish Re-train
5196381	6107	195424	22200.0	FFPolish Re-train
5263907	6029	192928	22210.0	FFPolish Re-train
8631208	7712	246784	22630.0	FFPolish Re-train
4983986	6220	199040	22220.0	FFPolish Re-train
6506115	7244	231808	22320.0	FFPolish Re-train
8203925	7168	229376	22290.0	FFPolish Re-train
4383793	4876	156032	22150.0	FFPolish Re-train
5782873	2974	95168	22160.0	FFPolish Re-train
15272887	8563	274016	23370.0	FFPolish Re-train
19082266	8835	282720	23540.0	FFPolish Re-train
4436824	2325	74400	22090.0	FFPolish Re-train
5497911	1981	63392	22100.0	FFPolish Re-train
17241082	8654	276928	23140.0	FFPolish Re-train
7057155	2857	91424	21930.0	FFPolish Re-train
15774773	8034	257088	23040.0	FFPolish Re-train
13882428	7135	228320	22820.0	FFPolish Re-train
6246501	2972	95104	22150.0	FFPolish Re-train
17130382	8541	273312	23550.0	FFPolish Re-train
16191187	8105	259360	22850.0	FFPolish Re-train
6982139	3306	105792	22180.0	FFPolish Re-train
19972921	8750	280000	23520.0	FFPolish Re-train
16291533	8730	279360	23710.0	FFPolish Re-train
16046800	8722	279104	23390.0	FFPolish Re-train
14247482	6939	222048	22870.0	FFPolish Re-train
4922428	2235	71520	20600.0	FFPolish Re-train
19939668	9076	290432	24850.0	FFPolish Re-train
20555886	8793	281376	23300.0	FFPolish Re-train
24883026	8875	284000	23650.0	FFPolish Re-train
16321583	7937	253984	22970.0	FFPolish Re-train
5480195	3048	97536	22180.0	FFPolish Re-train
3425947	2602	83264	22200.0	FFPolish Re-train
20138933	7935	253920	23000.0	FFPolish Re-train
5240423	2601	83232	22150.0	FFPolish Re-train
9106201	3563	114016	22170.0	FFPolish Re-train
4333360	2452	78464	22080.0	FFPolish Re-train
4948996	3385	108320	22250.0	FFPolish Re-train
14156079	6142	196544	22550.0	FFPolish Re-train
4211984	2419	77408	22100.0	FFPolish Re-train
17846203	8748	279936	23710.0	FFPolish Re-train
19371361	8729	279328	23380.0	FFPolish Re-train
8110642	6705	214560	156000.0	FFPolish CV
4037412	4793	153376	156000.0	FFPolish CV
6737459	6999	223968	156000.0	FFPolish CV
8631208	8513	272416	156000.0	FFPolish CV
3873643	4864	155648	156010.0	FFPolish CV
5236911	4592	146944	156000.0	FFPolish CV
5196381	6406	204992	156010.0	FFPolish CV
5424674	6103	195296	156000.0	FFPolish CV
4383793	5215	166880	156010.0	FFPolish CV
5626799	7140	228480	156000.0	FFPolish CV
5002654	5401	172832	156010.0	FFPolish CV
8203925	7144	228608	156000.0	FFPolish CV
8050897	7742	247744	156000.0	FFPolish CV
6214211	6333	202656	156010.0	FFPolish CV
5096488	5510	176320	156000.0	FFPolish CV
5974348	6620	211840	156000.0	FFPolish CV
7489185	7849	251168	156000.0	FFPolish CV
10322624	9263	296416	156000.0	FFPolish CV
5809995	6744	215808	156000.0	FFPolish CV
5441746	5598	179136	156000.0	FFPolish CV
6830039	7315	234080	156000.0	FFPolish CV
4209399	3634	116288	156000.0	FFPolish CV
6825105	7580	242560	156010.0	FFPolish CV
5118081	5296	169472	156040.0	FFPolish CV
